Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer
gaureshpai/hseruag,14,2025-09-09T17:24:18Z,true,false,false,false,false,false,false
Hikmahx/sneakers-ecommerce-website,13,2025-07-13T08:00:14Z,true,false,false,false,false,false,false
miguelrodriguezp99/easytype,13,2025-02-20T03:02:47Z,true,false,false,false,false,false,false
katie-gu/Resume-to-Job,13,2025-05-20T16:51:50Z,true,false,false,false,false,false,false
Abufahmi/CinamaMovies,12,2025-09-02T17:41:17Z,true,false,false,false,false,false,false
ChrisHAdams/application-healthcheck,11,2025-08-17T13:29:27Z,true,false,false,false,false,false,false
satheesh22g/Banking-Application,11,2025-02-21T10:32:03Z,true,false,false,false,false,false,false
MarouaneBenbetka/Real-Estate-Website,10,2025-01-15T21:29:30Z,true,false,false,false,false,false,false
Scoopika/web,9,2025-07-08T18:56:06Z,true,false,false,false,false,false,false
kanugurajesh/Anime-Website,9,2024-12-02T04:51:08Z,true,false,false,false,false,false,false
Neelachari/Med-Shoppee,9,2024-10-28T00:35:08Z,true,false,false,false,false,false,false
jillro/changemy.name,8,2025-06-10T08:42:55Z,true,false,false,false,false,false,false
Openpanel-dev/openpanel,4450,2025-09-11T04:17:25Z,true,false,false,false,true,false,false
radishes-music/radishes,1127,2025-09-10T18:11:34Z,true,false,false,false,true,false,false
dnnsoftware/Dnn.Platform,1089,2025-09-10T19:39:20Z,true,false,false,false,false,false,false
trustwallet/trust-web3-provider,852,2025-09-09T09:47:29Z,true,false,false,false,false,false,false
SonicCloudOrg/sonic-client-web,667,2025-07-06T21:20:50Z,true,false,false,false,false,false,false
girder/girder,446,2025-08-19T15:54:28Z,true,false,false,false,false,false,false
hiisea/elux,291,2025-06-28T18:27:10Z,true,false,false,false,false,false,false
subins2000/WebDrop,285,2025-08-25T05:46:56Z,true,false,false,false,false,false,false
LiveSplit/LiveSplitOne,270,2025-09-03T08:24:53Z,true,false,false,false,false,false,false
dhanji/sitebricks,249,2025-08-08T01:59:58Z,true,false,false,false,false,false,false
durasj/webamp-desktop,244,2025-08-26T12:02:09Z,true,false,false,false,true,false,false
geekeren/Magpie-LuckyDraw,243,2025-06-18T09:16:39Z,true,false,false,false,false,false,false
xcodebuild/iProxy,166,2025-09-03T05:43:59Z,true,false,false,false,false,false,false
eclipse-sirius/sirius-web,109,2025-09-10T17:17:44Z,true,false,false,false,false,false,false
TheToxProject/client,100,2025-03-25T14:49:59Z,true,false,false,false,false,false,false
machadop1407/Musical-Chat-Frontend,96,2025-02-11T01:16:28Z,true,false,false,false,false,false,false
