Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
shamimcse1/Human-Resource-Management-Laravel,78,2024-10-27T04:02:55Z,true,false,false,false,false,false,false,Sim
MiladJoodi/Full-Stack-Blog-App-with-Next.js15-MongoDB-Tailwind,10,2025-08-25T13:06:39Z,true,false,false,false,false,false,false,Sim
Kotlin/kmp-fullstack-conference-cms,9,2025-06-25T08:04:52Z,true,false,false,false,false,false,false,Sim
AliSabet81/fullstack-ecommerce-client,9,2025-01-04T06:01:28Z,true,false,false,false,false,false,false,Sim
MishraShardendu22/Secret-Message-Application,9,2025-07-06T20:02:51Z,true,false,false,false,false,false,false,Sim
NextPr0gram/UrbanThreads-Team-project-7,5,2025-03-02T22:16:22Z,true,false,false,false,false,false,false,Sim
samikaran/fullstack-ecommerce-nextjs-shopify,5,2024-11-13T22:34:52Z,true,false,false,false,false,false,false,Sim
AliSabet81/Jira,5,2024-10-29T05:41:37Z,true,false,false,false,false,false,false,Sim
aadityajha1/linkify,4,2024-09-29T14:15:21Z,true,false,false,false,false,false,false,Sim
machan1119/sound-studio,3,2025-07-03T10:31:45Z,true,false,false,false,false,false,false,Sim
LOUBNATANASSA/FullStack-SpringBoot-Application,2,2025-03-29T03:19:45Z,true,false,false,false,false,false,false,Sim
grafana/synthetic-monitoring-app,155,2025-09-26T17:21:23Z,true,false,false,false,false,false,false,Sim
STS-Rosario/carpoolear,97,2025-09-19T14:48:27Z,true,false,true,false,false,false,false,Sim
HeimLabs/coinbase-myusdc-frontend,47,2024-10-02T17:13:26Z,true,false,false,false,false,false,false,Sim
Krishna18062005/Scalp_Care-FrontEnd-ReactJS,46,2025-02-09T11:04:53Z,true,false,false,false,false,false,false,Sim
rohanmistry231/Habit-Tracker-Frontend,36,2025-05-24T04:45:06Z,true,false,false,false,false,false,false,Sim
rohanmistry231/CRUD-in-React-JS,35,2025-05-24T04:44:28Z,true,false,false,false,false,false,false,Sim
fberrez/minihabits-web,26,2025-07-25T21:07:41Z,true,false,false,false,false,false,false,Sim
rohanmistry231/AI-WebStudio,24,2025-06-24T02:36:47Z,true,false,false,false,false,false,false,Sim
NDLANO/ndla-frontend,22,2025-09-26T13:48:45Z,true,false,false,false,false,false,false,Sim
kcapp/frontend,20,2025-04-06T07:37:54Z,true,false,false,false,false,false,false,Sim
Kharacternyk/paper-tactics-pwa,20,2025-07-27T17:09:59Z,true,false,false,false,false,false,false,Sim
amarbalu/Tunes,19,2025-05-18T05:18:01Z,true,false,false,false,false,false,false,Sim
uma-arai/sbcntr-frontend,18,2025-09-07T13:22:46Z,true,false,false,false,false,false,false,Sim
frau-azadeh/crm,17,2025-09-15T09:44:49Z,true,false,false,false,false,false,false,Sim
Hazrat-Ali9/Financely-Frontend,15,2025-09-09T16:41:52Z,true,false,false,false,false,false,false,Sim
topcoder-platform/work-manager,14,2025-09-17T20:33:01Z,true,false,true,false,false,false,false,Sim
Nex-TON/Nexton_Frontend,14,2025-09-15T08:14:21Z,true,false,false,false,true,false,false,Sim
williamosilva/saas-application,13,2025-03-05T17:48:47Z,true,false,false,false,false,false,false,Sim
Chathupachamika/ZONY_Campus-frontend,12,2025-01-11T20:26:33Z,true,false,false,false,false,false,false,Sim
